,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
238,bcdms,0.65,75.0,0.02378,0.00182,0.00099,280,3,d,mu_minus,NC,sig_r
239,bcdms,0.65,86.0,0.0228,0.00191,0.00081,280,3,d,mu_minus,NC,sig_r
240,bcdms,0.65,99.0,0.02297,0.00205,0.00069,280,3,d,mu_minus,NC,sig_r
241,bcdms,0.65,115.5,0.01986,0.00192,0.0005,280,3,d,mu_minus,NC,sig_r
242,bcdms,0.65,137.5,0.02027,0.0025,0.00045,280,3,d,mu_minus,NC,sig_r
243,bcdms,0.65,175.0,0.01814,0.00238,0.00033,280,3,d,mu_minus,NC,sig_r
244,bcdms,0.65,230.0,0.01605,0.00263,0.00024,280,3,d,mu_minus,NC,sig_r
245,bcdms,0.75,57.0,0.00911,0.00106,0.00168,280,3,d,mu_minus,NC,sig_r
246,bcdms,0.75,65.5,0.00909,0.00107,0.00145,280,3,d,mu_minus,NC,sig_r
247,bcdms,0.75,75.0,0.00786,0.00105,0.00107,280,3,d,mu_minus,NC,sig_r
248,bcdms,0.75,86.0,0.00902,0.00127,0.00104,280,3,d,mu_minus,NC,sig_r
249,bcdms,0.75,99.0,0.00807,0.00124,0.00069,280,3,d,mu_minus,NC,sig_r
250,bcdms,0.75,115.5,0.00614,0.0012,0.00047,280,3,d,mu_minus,NC,sig_r
251,bcdms,0.75,137.5,0.00564,0.00122,0.00035,280,3,d,mu_minus,NC,sig_r
252,bcdms,0.75,175.0,0.00541,0.00116,0.00028,280,3,d,mu_minus,NC,sig_r
253,bcdms,0.75,230.0,0.00639,0.00172,0.00021,280,3,d,mu_minus,NC,sig_r
