,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
282,e94110,0.722288,3.623,2.275,0.730916,1.786,0.03977,0.077541,0.001727,F2,p,e,NC,1,1.9
283,e94110,0.714027,3.603,2.325,0.728623,1.621,0.03755,0.070251,0.001627,F2,p,e,NC,1,1.9
284,e94110,0.705666,3.582,2.375,0.726273,1.57,0.03465,0.067772,0.001496,F2,p,e,NC,1,1.9
285,e94110,0.6976,3.562,2.425,0.723938,1.483,0.03287,0.063843,0.001415,F2,p,e,NC,1,1.9
286,e94110,0.689628,3.542,2.475,0.721584,1.523,0.03365,0.065492,0.001447,F2,p,e,NC,1,1.9
287,e94110,0.681748,3.522,2.525,0.719208,1.515,0.0353,0.065162,0.001518,F2,p,e,NC,1,1.9
288,e94110,0.674011,3.501,2.575,0.716873,1.623,0.03882,0.069821,0.00167,F2,p,e,NC,1,1.9
289,e94110,0.666309,3.481,2.625,0.714457,1.735,0.04311,0.074763,0.001858,F2,p,e,NC,1,1.9
290,e94110,0.658695,3.461,2.675,0.712019,1.948,0.04935,0.084107,0.002131,F2,p,e,NC,1,1.9
291,e94110,0.650979,3.44,2.725,0.709519,2.194,0.05755,0.094897,0.002489,F2,p,e,NC,1,1.9
292,e94110,0.643537,3.42,2.775,0.70704,2.524,0.06422,0.109414,0.002784,F2,p,e,NC,1,1.9
293,e94110,0.63618,3.4,2.825,0.704539,2.6,0.06168,0.112989,0.00268,F2,p,e,NC,1,1.9
294,e94110,0.628938,3.379,2.875,0.702078,2.754,0.05718,0.119935,0.00249,F2,p,e,NC,1,1.9
295,e94110,0.621741,3.359,2.925,0.699535,2.699,0.05343,0.117983,0.002336,F2,p,e,NC,1,1.9
296,e94110,0.614623,3.339,2.975,0.696972,2.691,0.0523,0.118137,0.002296,F2,p,e,NC,1,1.9
297,e94110,0.60391,3.308,3.05,0.69304,2.652,0.05245,0.117155,0.002317,F2,p,e,NC,1,1.9
298,e94110,0.590338,3.268,3.15,0.687891,2.649,0.05338,0.117936,0.002377,F2,p,e,NC,1,1.9
299,e94110,0.576676,3.227,3.25,0.682503,2.812,0.05658,0.126114,0.002538,F2,p,e,NC,1,1.9
300,e94110,0.563482,3.187,3.35,0.677077,2.918,0.05913,0.131778,0.00267,F2,p,e,NC,1,1.9
301,e94110,0.55057,3.146,3.45,0.671621,3.099,0.06213,0.140658,0.00282,F2,p,e,NC,1,1.9
302,e94110,0.537743,3.105,3.55,0.66597,3.272,0.06471,0.149174,0.00295,F2,p,e,NC,1,1.9
303,e94110,0.525352,3.065,3.65,0.660284,3.4,0.06653,0.155562,0.003044,F2,p,e,NC,1,1.9
304,e94110,0.513208,3.024,3.75,0.654566,3.533,0.06835,0.161865,0.003131,F2,p,e,NC,1,1.9
305,e94110,0.50131,2.984,3.85,0.648707,3.605,0.06971,0.165382,0.003198,F2,p,e,NC,1,1.9
306,e94110,0.928348,4.458,1.225,0.732193,0.009,0.004026,0.000544,0.000243,F2,p,e,NC,1,1.9
307,e94110,0.918383,4.436,1.275,0.730242,0.031,0.007333,0.001885,0.000446,F2,p,e,NC,1,1.9
308,e94110,0.908679,4.413,1.325,0.728338,0.083,0.01166,0.005074,0.000713,F2,p,e,NC,1,1.9
309,e94110,0.898939,4.391,1.375,0.726352,0.184,0.01566,0.011311,0.000963,F2,p,e,NC,1,1.9
310,e94110,0.88931,4.369,1.425,0.724349,0.263,0.01613,0.01623,0.000995,F2,p,e,NC,1,1.9
311,e94110,0.879589,4.346,1.475,0.722301,0.341,0.01514,0.021048,0.000934,F2,p,e,NC,1,1.9
312,e94110,0.870508,4.324,1.525,0.720358,0.352,0.01274,0.021624,0.000783,F2,p,e,NC,1,1.9
313,e94110,0.861199,4.302,1.575,0.718304,0.328,0.01195,0.019986,0.000728,F2,p,e,NC,1,1.9
314,e94110,0.851795,4.279,1.625,0.716202,0.33,0.01051,0.019909,0.000634,F2,p,e,NC,1,1.9
315,e94110,0.843006,4.257,1.675,0.714209,0.336,0.01096,0.020089,0.000655,F2,p,e,NC,1,1.9
316,e94110,0.833804,4.234,1.725,0.712072,0.339,0.01217,0.020146,0.000723,F2,p,e,NC,1,1.9
317,e94110,0.824899,4.212,1.775,0.709948,0.381,0.01357,0.022575,0.000804,F2,p,e,NC,1,1.9
318,e94110,0.816091,4.19,1.825,0.707807,0.411,0.01414,0.024337,0.000837,F2,p,e,NC,1,1.9
319,e94110,0.80748,4.167,1.875,0.705713,0.448,0.01557,0.026537,0.000922,F2,p,e,NC,1,1.9
320,e94110,0.798859,4.145,1.925,0.703537,0.489,0.01636,0.029046,0.000972,F2,p,e,NC,1,1.9
321,e94110,0.790332,4.123,1.975,0.701343,0.566,0.01817,0.033763,0.001084,F2,p,e,NC,1,1.9
322,e94110,0.781705,4.1,2.025,0.699097,0.566,0.02118,0.033953,0.001271,F2,p,e,NC,1,1.9
323,e94110,0.773636,4.078,2.075,0.696966,0.677,0.02381,0.040907,0.001439,F2,p,e,NC,1,1.9
324,e94110,0.765375,4.056,2.125,0.694719,0.762,0.02826,0.046508,0.001725,F2,p,e,NC,1,1.9
